Player,Agents,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
MaKo,DRX,"['omen', 'viper', 'brimstone']",232,1.27,213.9,1.31,80%,137.5,0.72,0.44,0.06,0.07,23%,22%,6/27,31,168,128,101,15,16
k1Ng,GEN,"['viper', 'killjoy']",241,1.21,234.8,1.29,76%,157.3,0.83,0.27,0.10,0.07,28%,22%,7/32,23,199,154,66,23,17
BuZz,DRX,"['killjoy', 'kayo']",196,1.17,202.1,1.15,71%,129.3,0.72,0.35,0.04,0.10,23%,32%,7/22,24,141,123,68,8,20
xffero,RRQ,"['fade', 'skye', 'sova']",224,1.16,227.4,1.21,77%,142.0,0.80,0.33,0.09,0.06,27%,11%,4/35,24,179,148,74,20,13
Zest,DRX,"['sova', 'fade']",36,1.15,189.5,1.25,75%,102.7,0.69,0.25,0.03,0.03,32%,50%,2/4,14,25,20,9,1,1
invy,TS,"['kayo', 'breach', 'skye']",259,1.15,209.8,1.09,75%,135.4,0.74,0.51,0.09,0.05,32%,13%,4/32,26,192,176,133,24,14
SugarZ3ro,ZETA,"['omen', 'viper']",209,1.14,210.2,1.16,78%,132.0,0.75,0.51,0.06,0.10,23%,7%,1/15,24,156,135,107,13,20
Dep,ZETA,"['jett', 'neon']",209,1.14,260.3,1.27,77%,166.4,0.91,0.18,0.25,0.12,29%,17%,3/18,29,191,150,37,53,26
something,PRX,['jett'],116,1.12,230.8,1.18,72%,142.4,0.84,0.11,0.20,0.16,27%,13%,2/15,24,97,82,13,23,18
xeta,T1,"['harbor', 'sova', 'breach']",208,1.12,209.2,1.12,76%,132.5,0.72,0.33,0.05,0.04,26%,10%,3/31,21,150,134,68,10,9
d4v41,PRX,"['skye', 'sova', 'killjoy']",228,1.11,204.6,1.18,71%,141.3,0.75,0.32,0.07,0.09,24%,21%,5/24,25,172,146,74,15,20
stax,DRX,"['kayo', 'breach', 'skye']",232,1.09,198.1,1.04,75%,125.6,0.68,0.35,0.08,0.08,32%,18%,4/22,21,157,151,82,19,18
